number,incident_state,knowledge,vendor,product,country,summary
INC0011904,New,False,Emerald,Turtle,Turkey,"Incident INC0011904, categorized with medium impact and urgency (priority 3 - moderate), was opened on 28/3/2016 at 11:35 in Turkey involving the product ""Turtle"" from vendor Emerald. The incident met its SLA, was resolved on 11/4/2016 at 17:30, and closed on 16/4/2016 at 18:07. The incident is currently in a new state, and no knowledge article was created."
INC0028885,Resolved,False,Emerald,Boa,Pakistan,"Incident INC0028885, related to the Emerald Boa product in Pakistan, was opened on 12/5/2016 at 14:54 with a medium impact and urgency, resulting in a moderate priority. The incident was resolved promptly by 15:01 the same day, meeting the SLA, and was closed on 17/5/2016. The incident is now resolved."
INC0018284,New,False,Ruby,Fox,United Kingdom,"Incident INC0018284 was opened on April 12, 2016, with medium impact and urgency, resulting in a moderate priority. The issue involved the Fox product by vendor Ruby in the United Kingdom. The incident met its SLA and was resolved on April 18, 2016, and subsequently closed on April 23, 2016. The incident is currently in a new state and no knowledge article was created."
INC0000102,New,True,Ruby,LadyBug,Czech Republic,"Incident INC0000102 was opened on 29/2/2016 with a medium impact and urgency, resulting in a moderate priority. The issue involved the Ruby vendor's LadyBug product in the Czech Republic. The incident met its SLA, was resolved on 17/3/2016, and closed on 24/3/2016. The knowledge base was updated accordingly. The incident is currently in a New state."
INC0008909,Active,False,Sapphire,Peacock,Portugal,"Incident INC0008909, related to the Peacock product by vendor Sapphire in Portugal, was opened on 18/3/2016 with a medium impact and urgency, resulting in a moderate priority. The incident was active, met its SLA, resolved on 22/3/2016, and closed on 27/3/2016. No knowledge article was created."
INC0006574,Awaiting User Info,False,Emerald,Turtle,Ecuador,"Incident INC0006574, related to the Turtle product from vendor Emerald in Ecuador, was opened on 14/03/2016 at 10:36 with a medium impact and urgency (priority 3 - moderate). The incident is currently awaiting user information. The service level agreement was met. It was resolved on 16/03/2016 at 10:48 and closed on 24/03/2016 at 19:00. No knowledge article was created."
INC0029102,Closed,False,Emerald,Frog,Denmark,"Incident INC0029102, related to the Frog product by vendor Emerald in Denmark, was opened on 13/5/2016 at 08:41 with a medium impact and urgency, and moderate priority. The issue was resolved quickly by 08:44 the same day, met the SLA, and was closed on 18/5/2016 at 09:07. The incident is now closed, and no knowledge article was created."
INC0009942,Active,False,Sapphire,Peacock,Peru,"Incident INC0009942, related to the Peacock product by vendor Sapphire in Peru, was opened on 22/03/2016 and had a medium impact and urgency with moderate priority. The incident remained active but met its SLA, was resolved on 31/03/2016, and closed on 05/04/2016. No knowledge article was created."
INC0012477,Active,False,Sapphire,BlueJay,Japan,"Incident INC0012477 was opened on 29/3/2016 at 11:27 with a medium impact and urgency, resulting in a moderate priority. The issue involved the Sapphire vendor's BlueJay product in Japan. The incident met the SLA, was resolved the same day by 13:43, and closed on 3/4/2016 at 13:59. The ticket remains active with no associated knowledge articles."
INC0005556,Active,True,Ruby,LadyBug,Canada,"Incident INC0005556, related to the Ruby vendor's LadyBug product in Canada, was opened on 10/3/2016 at 16:07 with a medium impact and urgency, resulting in a moderate priority. The incident met the SLA, was resolved by 1/4/2016 at 14:02, and subsequently closed on 6/4/2016 at 14:59. The incident is currently active and includes available knowledge documentation."
INC0008431,New,False,Sapphire,BlueJay,Germany,"Incident INC0008431, related to the BlueJay product by vendor Sapphire in Germany, was opened on 17/3/2016 and classified with medium impact and urgency, resulting in a moderate priority. The incident met its SLA, was resolved on 30/3/2016, and closed on 31/3/2016. The incident state is currently New, and no knowledge article was created."
INC0017782,New,False,Sapphire,Glaucus,India,"Incident INC0017782, categorized with medium impact and urgency and moderate priority, was opened on 11/4/2016 and resolved by 14/4/2016. The incident involved the Glaucus product from vendor Sapphire in India. The issue met its SLA but has not yet been marked as resolved in the system."
INC0008382,Active,False,Sapphire,Glaucus,Morocco,"Incident INC0008382, related to the Sapphire Glaucus product in Morocco, was opened on 17/03/2016 at 14:43 with medium impact and urgency, assigned a moderate priority. The incident met its SLA, was resolved the same day at 15:25, and closed on 24/03/2016 at 19:02. The incident is currently marked as active and has no associated knowledge article."
INC0022828,Closed,False,Ruby,Fox,Mexico,"Incident INC0022828, related to the Ruby vendor's Fox product in Mexico, was opened on 26/4/2016 at 14:48 with a medium impact and urgency, resulting in a moderate priority. The incident was resolved on the same day at 14:54, met the SLA requirements, and was subsequently closed on 1/5/2016 at 15:07. Knowledge documentation was not created."
INC0012398,Closed,False,Ruby,Shrimp,Romania,"Incident INC0012398, related to the Shrimp product from vendor Ruby in Romania, was opened on 29/03/2016 and closed on 05/04/2016. It had a medium impact and urgency, with a moderate priority. The incident was resolved by 31/03/2016, met the SLA, and is now closed. Knowledge documentation was not created."
INC0014841,Resolved,False,Sapphire,BlueTang,Croatia,"Incident INC0014841, related to the BlueTang product from vendor Sapphire in Croatia, was opened on April 4, 2016, at 11:55 and resolved the same day at 12:02. The incident had a medium impact and urgency, with a moderate priority. The issue was resolved within the SLA and was ultimately closed on May 23, 2016."
INC0000266,Active,True,Sapphire,Glaucus,Finland,"Incident INC0000266, related to the Glaucus product from vendor Sapphire in Finland, was opened on 29/2/2016 with medium impact and urgency, assigned a moderate priority. The incident was active, met its SLA, and had knowledge documentation. It was resolved on 4/3/2016 and closed on 9/3/2016."
INC0009914,Active,False,Emerald,Croc,Pakistan,"Incident INC0009914, involving the Emerald vendor's Croc product in Pakistan, was opened on 22/3/2016 at 10:44 with a medium impact and urgency, and a moderate priority. The incident was active, met its SLA, and was resolved on 6/4/2016 at 10:35 before being closed on 11/4/2016 at 10:59. No knowledge article was created."
INC0020972,Closed,False,Ruby,Ant,Portugal,"Incident INC0020972, related to the product Ant from vendor Ruby in Portugal, was opened on 19/4/2016 at 14:35 with a medium impact and urgency, resulting in a moderate priority. The incident was resolved promptly by 14:41 the same day and was closed on 24/4/2016. The service level agreement (SLA) was met, and no knowledge article was created."
INC0001142,Active,True,Sapphire,Peacock,New Zealand,"Incident INC0001142, related to the Peacock product by vendor Sapphire in New Zealand, was opened on 2/3/2016 with medium impact and urgency, resulting in a moderate priority. The incident met the SLA, was resolved on 13/4/2016, and closed on 18/4/2016. The ticket is currently active and has associated knowledge documentation."
INC0020049,New,False,Ruby,LadyBug,Austria,"Incident INC0020049, related to the LadyBug product by vendor Ruby in Austria, was opened on 16/04/2016 at 13:17 with a medium impact and urgency, resulting in moderate priority. The incident met its SLA, was resolved on 20/04/2016 at 10:54, and closed on 25/04/2016 at 11:07. The current state is New, and no knowledge article was created."
INC0016037,New,False,Emerald,Croc,Vietnam,"Incident INC0016037, related to the Croc product by vendor Emerald in Vietnam, was opened on April 6, 2016. It had a medium impact and urgency, resulting in a moderate priority. The incident met its SLA, was resolved on April 8, and closed on April 13, 2016. Its current state is New, and no knowledge article was created."
INC0017997,Active,False,Ruby,Ant,Brazil,"Incident INC0017997, related to the Ant product by vendor Ruby in Brazil, was opened on April 12, 2016, at 10:06 with a medium impact and urgency, assigned a moderate priority. The incident was resolved on April 13, 2016, at 15:45 and closed on April 18, 2016, at 16:07. The SLA was met, and the incident remains active without associated knowledge articles."
INC0000519,Active,True,Ruby,Shrimp,Egypt,"Incident INC0000519, related to the Ruby vendor's Shrimp product in Egypt, was opened on 1/3/2016 with medium impact and urgency, resulting in a moderate priority. The incident adhered to the SLA, was resolved on 2/3/2016, and closed on 7/3/2016. Knowledge base documentation is available for this case. The incident is currently marked as Active."
INC0016563,New,False,Ruby,LadyBug,United Kingdom,"Incident INC0016563, related to the LadyBug product by vendor Ruby in the United Kingdom, was opened on 7/4/2016 at 13:39 with medium impact and urgency, resulting in a moderate priority. The incident was resolved the same day by 15:12 and subsequently closed on 12/4/2016 at 15:59. The service level agreement (SLA) was met, and the incident is currently in a new state with no associated knowledge article."
INC0009548,New,False,Ruby,Ant,France,"Incident INC0009548, related to the Ruby vendor's Ant product in France, was opened on 21/3/2016 at 14:39 with a medium impact and urgency (priority 3 - moderate). The incident met its SLA, was resolved the same day at 15:59, and subsequently closed on 26/3/2016. The incident state is currently new, and no knowledge article was created."
INC0016707,Closed,False,Sapphire,Glaucus,Argentina,"Incident INC0016707, related to the Sapphire Glaucus product in Argentina, was opened on July 4, 2016, at 17:39 with a medium impact and urgency, and a moderate priority. The incident was resolved within the SLA by 17:51 the same day and subsequently closed on December 4, 2016, at 17:59. The incident is closed, and no knowledge article was created."
INC0017403,Active,False,Ruby,Fox,Indonesia,"Incident INC0017403, classified with medium impact and urgency and moderate priority, was opened on 11/4/2016 and resolved by 13/4/2016. The ticket met its SLA and was finally closed on 18/4/2016. The incident involved the Fox product, reported in Indonesia, and the vendor responsible was Ruby. The incident is currently marked as active, and there is no associated knowledge article."
INC0000257,Closed,True,Emerald,Frog,Canada,"Incident INC0000257, related to the Frog product by vendor Emerald in Canada, was a medium impact and urgency issue with moderate priority. It was opened on 29/2/2016 at 12:48, met the SLA, resolved the same day by 22:28, and closed on 5/3/2016 at 23:00. The incident is now closed and includes documented knowledge."
INC0014212,Awaiting User Info,False,Emerald,Boa,Ireland,"Incident INC0014212, involving the Emerald vendor's Boa product in Ireland, was opened on 1/4/2016 and marked with medium impact and urgency, resulting in a moderate priority. The incident met SLA requirements and was resolved on 6/4/2016 but remained in an ""Awaiting User Info"" state before being closed on 11/4/2016. No knowledge article was created for this incident."
INC0002055,Active,True,Emerald,Frog,Norway,"Incident INC0002055, related to the Frog product from vendor Emerald in Norway, was opened on 3rd March 2016 and closed on 9th March 2016. It had a medium impact and urgency, resulting in a moderate priority. The incident met the SLA, involved documented knowledge, and was resolved on 4th March 2016. The current state is Active."
INC0000345,New,True,Emerald,Frog,Japan,"Incident INC0000345, related to the product Frog from vendor Emerald in Japan, was opened on 29/2/2016 at 15:17 with a medium impact and urgency, resulting in a moderate priority. The incident met its SLA, was resolved on 1/3/2016 at 16:00, and closed on 6/3/2016 at 17:00. Knowledge documentation was created, and the incident state is currently New."
INC0007876,Awaiting User Info,False,Emerald,Boa,Turkey,"Incident INC0007876, related to the Boa product from vendor Emerald in Turkey, was classified with medium impact and urgency, resulting in moderate priority. It was opened on 16/3/2016 and resolved by 21/3/2016, then closed on 26/3/2016. The incident met its SLA and was last in the ""Awaiting User Info"" state. No knowledge article was created."
INC0007706,Resolved,False,Ruby,Fox,Sweden,"Incident INC0007706, related to the Ruby Fox product in Sweden, was opened on 16/3/2016 at 11:10 with medium impact and urgency, assigned a moderate priority. The incident was resolved within SLA and closed on 24/3/2016 at 19:01."
INC0014948,Resolved,False,Emerald,Frog,Turkey,"Incident INC0014948, related to the product Frog from vendor Emerald in Turkey, was categorized with medium impact and urgency (priority moderate). It was opened on April 4, 2016, at 14:20 and resolved by April 7, 2016, at 10:42, meeting the SLA. The incident was subsequently closed on April 12, 2016. Knowledge documentation was not created."
INC0007378,Active,False,Ruby,LadyBug,Philippines,"Incident INC0007378, related to the LadyBug product by vendor Ruby in the Philippines, was opened on 15 March 2016 and resolved on 29 March 2016. It had a medium impact and urgency, resulting in a moderate priority. The incident was active, met the SLA, and was closed on 3 April 2016. No knowledge articles were created."
INC0014160,New,False,Ruby,Ant,Israel,"Incident INC0014160, with medium impact and urgency (priority 3 - Moderate), was opened on April 1, 2016, at 14:30 in Israel, involving the Ruby vendor's Ant product. The incident met its SLA, was resolved on April 4, 2016, at 10:26, and closed shortly after at 10:45 on the same day. The incident is currently marked as New and does not have associated knowledge documentation."
INC0023542,New,False,Ruby,Fox,Denmark,"Incident INC0023542 was opened on 28/4/2016 in Denmark involving the Ruby vendor's Fox product. It was assigned a medium impact and urgency, resulting in a moderate priority. The incident met the SLA requirements, was resolved on 6/5/2016, and closed on 11/5/2016. The incident state is New, and there is no associated knowledge article."
INC0016639,Closed,False,Emerald,Frog,Chile,"Incident INC0016639, related to the Frog product from vendor Emerald in Chile, was opened on July 4, 2016, at 15:29. It had a medium impact and urgency, resulting in a moderate priority. The incident was resolved the same day at 17:27 and closed on December 4, 2016, at 17:59, meeting the SLA requirements. The incident is now closed and did not involve knowledge base documentation."
INC0015402,Active,False,Sapphire,Glaucus,Israel,"Incident INC0015402, related to the Sapphire Glaucus product in Israel, was opened on 5/4/2016 and had a medium impact and urgency with moderate priority. The incident met the SLA, was resolved on 6/4/2016, and closed on 11/4/2016. Its current state is active, and no knowledge article was created."
INC0015036,Resolved,False,Sapphire,Glaucus,Egypt,"Incident INC0015036, related to the Sapphire Glaucus product in Egypt, was opened on 4th April 2016 and resolved by 6th April 2016. The issue had a medium impact and urgency, resulting in a moderate priority. The incident was resolved within the SLA and was closed on 11th April 2016."
INC0027251,Closed,False,Emerald,Frog,Mexico,"Incident INC0027251, related to the Emerald Frog product in Mexico, was opened on 9/5/2016 at 07:54 with medium impact and urgency, and moderate priority. The issue was resolved on the same day at 08:38, met the SLA requirements, and the case was closed on 14/5/2016. No knowledge article was created."
INC0015902,Active,False,Ruby,Fox,Denmark,"Incident INC0015902, related to the Ruby vendor's Fox product in Denmark, was opened on April 6, 2016. It had medium impact and urgency, resulting in a moderate priority. The incident met its SLA, was resolved on April 28, 2016, and closed on May 3, 2016. The incident is currently marked as active and no knowledge article was created."
INC0018028,Active,False,Ruby,Fox,New Zealand,"Incident INC0018028, related to the Ruby vendor's Fox product in New Zealand, was opened on 12/4/2016 with medium impact and urgency, resulting in a moderate priority. The incident met its SLA, was resolved by 14/4/2016, and subsequently closed on 19/4/2016. The ticket remains active and does not have an associated knowledge article."
INC0014157,Active,False,Sapphire,BlueJay,Kenya,"Incident INC0014157, related to the BlueJay product from vendor Sapphire in Kenya, was opened on January 4, 2016, at 14:27. It had a medium impact and urgency, resulting in a moderate priority. The incident met its SLA, was resolved on January 11, 2016, at 17:34, and finally closed on June 11, 2016, at 18:00. The incident remains active and is not linked to a knowledge article."
INC0003897,Active,True,Ruby,Fox,Portugal,"Incident INC0003897, related to the Ruby vendor's Fox product in Portugal, was opened on 8/3/2016 and had a medium impact and urgency, with a moderate priority. The incident met its SLA, was resolved on 14/3/2016, and closed on 24/3/2016. Its current state is active, and knowledge resources are available."
INC0013968,Active,False,Sapphire,Glaucus,Austria,"Incident INC0013968, related to the Sapphire Glaucus product in Austria, was opened on 1/4/2016 with medium impact and urgency, resulting in a moderate priority. The incident met its SLA, was resolved on 4/4/2016, and closed on 9/4/2016. The ticket remains active with no associated knowledge base article."
INC0008616,Awaiting Vendor,False,Sapphire,Glaucus,Netherlands,"Incident INC0008616, related to the Glaucus product in the Netherlands, was opened on 18/03/2016 and had a medium impact and urgency, resulting in a moderate priority. The incident was handled in accordance with the SLA, involved the vendor Sapphire, and remained in an ""Awaiting Vendor"" state during resolution. It was resolved on 20/10/2016 and closed on 25/10/2016."
INC0029023,Closed,False,Ruby,Fox,Australia,"Incident INC0029023, related to the Ruby vendor's Fox product in Australia, was opened on 12/5/2016 at 21:12 with a medium impact and urgency, and a moderate priority. The incident was resolved quickly by 21:13 the same day, met its SLA, and was closed on 17/5/2016 at 22:07. No knowledge article was created."
INC0003207,Active,True,Sapphire,BlueTang,Austria,"Incident INC0003207, related to the Sapphire BlueTang product in Austria, was opened on 7/3/2016 and resolved on 9/3/2016. The incident had a medium impact and urgency, resulting in a moderate priority. It met the SLA, and the knowledge base was updated. The incident was closed on 24/3/2016 and is currently marked as active."
INC0008378,New,False,Emerald,Boa,United Kingdom,"Incident INC0008378 was opened on 17/3/2016 at 14:36 with a medium impact and urgency, resulting in a moderate priority. The incident involved the Boa product from vendor Emerald in the United Kingdom. It met the SLA requirements, was resolved on 18/3/2016 at 09:58, and closed on 24/3/2016 at 19:02. The incident is currently in a new state and does not have an associated knowledge article."
INC0012712,New,False,Sapphire,BlueJay,Ecuador,"Incident INC0012712 was opened on 29/3/2016 at 17:10 concerning the BlueJay product from vendor Sapphire in Ecuador. It had a medium impact and urgency, resulting in a moderate priority. The incident met its SLA, was resolved on 14/4/2016 at 14:42, and closed on 19/4/2016 at 15:07. The current state is New, and no knowledge article was created."
INC0002216,Active,True,Emerald,Boa,Sweden,"Incident INC0002216 was opened on April 3, 2016, and involved the Boa product by Emerald in Sweden. It had a medium impact and urgency, resulting in a moderate priority. The incident met its SLA, was resolved by March 7, 2016, and closed on March 24, 2016. The ticket is currently marked as active and has associated knowledge documentation."
INC0011374,Active,False,Sapphire,Peacock,Greece,"Incident INC0011374, related to the Peacock product by vendor Sapphire in Greece, was opened on 25/3/2016 and had a medium impact and urgency, with a moderate priority. The incident met the SLA, was resolved on 28/3/2016, and closed on 2/4/2016. The incident is currently active and has no associated knowledge articles."
INC0001127,Closed,True,Emerald,Croc,Ireland,"Incident INC0001127, related to the Croc product by vendor Emerald in Ireland, was a medium-impact and urgency issue with moderate priority. The incident was opened on 2nd March 2016 at 10:39 and resolved on 26th April 2016 at 14:50, then closed on 1st May 2016 at 15:07. The incident did not meet the SLA but had associated knowledge documentation. The incident state is closed."
INC0026304,New,False,Emerald,Boa,Greece,"Incident INC0026304, opened on 5/5/2016, involved a high-impact issue with medium urgency related to the Boa product from vendor Emerald in Greece. The incident was prioritized as high, met its SLA, and was resolved by 6/5/2016, then closed on 11/5/2016. The incident is currently in a new state and has no associated knowledge articles."
INC0026185,Closed,False,Emerald,Boa,Israel,"Incident INC0026185, related to the Boa product from vendor Emerald in Israel, was opened on 5 May 2016 at 09:01 with a medium impact and urgency, resulting in a moderate priority. The incident was resolved on 6 May 2016 at 11:30, met its SLA, and was closed on 11 May 2016 at 12:07. The knowledge article was not created for this incident."
INC0008305,Closed,False,Ruby,Ant,Bolivia,"Incident INC0008305, related to the product Ant by vendor Ruby in Bolivia, was opened on 17/3/2016 and resolved by 18/3/2016, with closure on 24/3/2016. The incident had medium impact and urgency, resulting in a moderate priority. It met the SLA and is now closed."
INC0007666,Resolved,False,Sapphire,BlueJay,Kenya,"Incident INC0007666, involving the Sapphire BlueJay product in Kenya, was opened on 16/3/2016 at 10:31 with a medium impact and urgency, and a moderate priority. The incident was resolved the same day at 11:19, meeting the SLA, and was subsequently closed on 24/3/2016. The incident state is resolved, and no knowledge article was created."
INC0005300,Active,True,Ruby,Fox,Spain,"Incident INC0005300, related to the Ruby vendor's Fox product in Spain, was opened on 10/3/2016 with a medium impact and urgency, resulting in a moderate priority. The ticket met its SLA, was resolved by 17/3/2016, and closed on 24/3/2016. The incident remains active and has associated knowledge documentation."
INC0013298,Resolved,False,Emerald,Boa,Malaysia,"Incident INC0013298, related to the Emerald Boa product in Malaysia, was opened on 31/3/2016 at 06:52 and resolved within two minutes. The incident had a medium impact and urgency, with a moderate priority. It met the SLA and was closed on 5/4/2016. Knowledge base documentation was not created for this incident."
INC0008707,Awaiting User Info,False,Emerald,Turtle,Sweden,"Incident INC0008707, related to the Turtle product by vendor Emerald in Sweden, was opened on 18/03/2016 with a medium impact and urgency, resulting in a moderate priority. The incident met its SLA but is currently awaiting user information. It was resolved on 31/03/2016 and closed on 05/04/2016."
INC0022998,Closed,False,Emerald,Frog,China,"Incident INC0022998, related to the Frog product by vendor Emerald in China, was opened on 27/4/2016 and closed on 2/5/2016. It had a medium impact and urgency, with a moderate priority. The incident met the SLA and is now closed."
INC0000197,Active,True,Emerald,Boa,Australia,"Incident INC0000197, related to the Emerald vendor's Boa product in Australia, was a medium-impact and urgency issue with moderate priority. It was opened on 29/02/2016 at 11:02, met the SLA, resolved on 31/03/2016 at 11:13, and closed on 05/04/2016 at 11:59. The incident is currently active and has associated knowledge."
INC0012944,New,False,Emerald,Croc,Morocco,"Incident INC0012944 was opened on 30/3/2016 with medium impact and urgency, assigned a moderate priority. It involved the Emerald vendor's Croc product in Morocco. The incident met the SLA, was resolved on 4/4/2016, and closed on 9/4/2016. The incident state is currently New, and no knowledge article was created."
INC0011562,Resolved,False,Emerald,Boa,Israel,"Incident INC0011562, related to the Emerald Boa product in Israel, was opened on 27/3/2016 at 10:14 with a medium impact and urgency, and moderate priority. The incident was resolved on the same day at 11:41, meeting the SLA, and was subsequently closed on 1/4/2016 at 11:59. The incident is now marked as resolved."
INC0006202,Active,False,Ruby,Ant,Norway,"Incident INC0006202, related to the Ruby vendor's Ant product in Norway, was opened on 11/3/2016 with a medium impact and urgency, resulting in a moderate priority. The incident was active and met its SLA, being resolved by 15/3/2016 and closed on 24/3/2016. No knowledge article was created for this incident."
INC0003852,Closed,True,Emerald,Frog,Spain,"Incident INC0003852, related to the Frog product by vendor Emerald in Spain, was opened on 8/3/2016 at 00:33 with a medium impact and urgency, resulting in a moderate priority. The incident was resolved quickly by 00:55 the same day but remained open until it was closed on 24/3/2016 at 18:41. The incident did not meet the SLA but included documented knowledge before closure. The incident state is closed."
INC0002915,Active,True,Ruby,Shrimp,Portugal,"Incident INC0002915, involving the Ruby vendor's Shrimp product in Portugal, was opened on 6/3/2016 with a medium impact and high urgency and priority. The incident met SLA requirements, was resolved on 11/3/2016, and closed on 24/3/2016. It remains active and has associated knowledge documentation."
INC0008724,Awaiting User Info,False,Ruby,Shrimp,Canada,"Incident INC0008724, related to the Ruby vendor's Shrimp product in Canada, was opened on 18/03/2016 with medium impact and urgency, assigned a moderate priority. The incident was resolved on 29/03/2016 and closed on 03/04/2016. It is currently awaiting user information and met the SLA requirements."
INC0029111,New,False,Emerald,Boa,United Kingdom,"Incident INC0029111, related to the Emerald vendor's Boa product in the United Kingdom, was opened on 13/05/2016 with a medium impact and urgency, resulting in a moderate priority. The incident was resolved on 18/05/2016 and closed on 23/05/2016. The service level agreement (SLA) was met, and no knowledge article was created. The current incident state is New."
INC0028657,Active,False,Emerald,Boa,Australia,"Incident INC0028657, related to the Boa product by vendor Emerald in Australia, was opened on 12/5/2016 with medium impact and urgency, resulting in a moderate priority. The incident was active but met its SLA, and it was resolved on 10/6/2016 and closed on 15/6/2016. No knowledge article was created."
INC0025942,Active,False,Ruby,Ant,Vietnam,"Incident INC0025942 is currently active with medium impact and urgency, assigned a moderate priority. It was opened on April 5, 2016, at 15:10 in Vietnam, involving the Ruby vendor and the Ant product. The incident met its SLA, was resolved on November 28, 2016, at 09:06, and subsequently closed on December 3, 2016, at 09:07. No knowledge article has been created for this incident."
INC0000769,Resolved,True,Ruby,Ant,United Kingdom,"Incident INC0000769, related to the Ruby vendor's Ant product in the United Kingdom, was opened on 1st March 2016 at 14:43 with a medium impact and urgency, and a moderate priority. The incident was resolved on 4th March 2016 at 16:47, met the SLA, and was closed on 9th March 2016 at 17:00. Knowledge was documented during the process."
INC0015363,Active,False,Ruby,Fox,Peru,"Incident INC0015363, related to the Ruby vendor's Fox product in Peru, was opened on 5/4/2016 at 10:09 with medium impact and urgency, assigned a moderate priority. The incident was resolved the same day at 15:19, met its SLA, and was closed on 10/4/2016 at 15:59. The incident is currently marked as active, and no knowledge article was created."
INC0024638,Closed,False,Emerald,Frog,Denmark,"Incident INC0024638, related to the Frog product by vendor Emerald in Denmark, was opened on 2/5/2016 at 08:24 and closed on 3/5/2016 at 20:06. The incident had medium impact and urgency, resulting in a moderate priority. It was resolved within the SLA and ultimately closed without creating a knowledge article."
INC0026752,Active,False,Emerald,Turtle,China,"Incident INC0026752, related to the Turtle product by vendor Emerald in China, was opened on 6/5/2016 with a medium impact and urgency, resulting in a moderate priority. The incident was resolved by 11/5/2016 and closed on 16/5/2016, meeting the SLA. The incident is currently marked as active and no knowledge article was created."
INC0013878,Awaiting User Info,False,Sapphire,BlueTang,Austria,"Incident INC0013878, related to the Sapphire BlueTang product in Austria, was opened on April 1, 2016. It had a medium impact and urgency, resulting in a moderate priority. The incident met its SLA, was resolved by April 8, 2016, and closed on April 13, 2016. The current state is awaiting user information, and no knowledge article was created."
INC0024125,Closed,False,Ruby,Fox,Mexico,"Incident INC0024125, related to the Fox product by vendor Ruby in Mexico, was opened on 29/4/2016 at 11:25 with a medium impact and urgency, assigned a moderate priority. The incident was resolved quickly by 29/4/2016 at 11:27, met the SLA, and was closed on 4/5/2016 at 12:07. The incident did not involve documented knowledge."
INC0014630,Resolved,False,Emerald,Frog,Chile,"Incident INC0014630, impacting the Frog product by vendor Emerald in Chile, was opened on April 4, 2016, with medium impact and urgency, and moderate priority. The incident was resolved on April 5, 2016, meeting the SLA, and subsequently closed on April 10, 2016. The incident state is resolved, and no knowledge article was created."
INC0015536,Active,False,Ruby,LadyBug,Singapore,"Incident INC0015536, related to the LadyBug product by vendor Ruby in Singapore, was opened on 5/4/2016 at 14:19 with medium impact and urgency, resulting in a moderate priority. The incident met its SLA, was resolved the same day at 14:37, and subsequently closed on 10/4/2016 at 14:59. The incident is currently marked as active and is not linked to any knowledge articles."
INC0022818,Closed,False,Emerald,Boa,Mexico,"Incident INC0022818, related to the Emerald Boa product in Mexico, was opened on 26/4/2016 at 14:31 with a medium impact and urgency, and moderate priority. The issue was resolved promptly by 14:38 the same day, meeting the SLA, and the incident was officially closed on 1/5/2016. The incident state is closed and no knowledge article was created."
